dataset_name,algorithm,use_asymmetric_transformation,use_hnsw_pruning_rule_on_X,k,num_threads_build,num_threads_search,run_timestamp_utc,git_commit,hostname,hnsw_m,hnsw_ef_construction,hnsw_ef_search,hnsw_learn_insert_order,hnsw_num_learn_queries,roargraph_m_sq,roargraph_m_pjbp,roargraph_l_pjpq,roargraph_l_pq,roargraph_learn_neighbors_rows_hdf5,roargraph_learn_neighbors_cols_hdf5,roargraph_num_learn_queries,roargraph_learn_neighbors_k,roargraph_learn_query_source,roargraph_learn_query_sample_seed,roargraph_database_rows,roargraph_learn_neighbors_rows_actual,roargraph_learn_neighbors_dropped_rows,nsg_r,nsg_l,nsg_c,nsg_search_l,build_time_ms,rss_before_build_bytes,rss_after_build_bytes,rss_build_delta_bytes,index_size_bytes,recall_X_avg_at_k,recall_X_min,recall_X_p50,recall_X_p95,recall_X_p99,recall_X_std,recall_X_frac_at_0,recall_X_frac_at_1,recall_X_asymmetric_avg_at_k,recall_X_asymmetric_min,recall_X_asymmetric_p50,recall_X_asymmetric_p95,recall_X_asymmetric_p99,recall_X_asymmetric_std,recall_X_asymmetric_frac_at_0,recall_X_asymmetric_frac_at_1,num_queries,queries_per_sec,search_time_X_ms,top_candidates_avg_X,top_candidates_median_X,selected_neighbors_avg_X,selected_neighbors_median_X,degree_lowest_layer_avg_X,degree_lowest_layer_median_X,degree_lowest_layer_max_X,degree_avg_X,degree_median_X,degree_max_X,search_time_X_asymmetric_ms,top_candidates_avg_X_asymmetric,top_candidates_median_X_asymmetric,selected_neighbors_avg_X_asymmetric,selected_neighbors_median_X_asymmetric,degree_lowest_layer_avg_X_asymmetric,degree_lowest_layer_median_X_asymmetric,degree_lowest_layer_max_X_asymmetric,degree_avg_X_asymmetric,degree_median_X_asymmetric,degree_max_X_asymmetric
synthetic-poc,hnsw-hnswlib,False,True,5,1,1,2026-05-20T13:44:57.870807+00:00,15d37f9,reference-machine,12,80,64,none,0,,,,,,,,,,,,,,,,,,21.353152114897966,80035840,82489344,2453504,98072,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,,,,,,,,,40,11234.993638250853,3.560304641723633,67.64597701149425,80.0,9.248275862068965,10.0,16.49,16.0,24,17.1475,16.0,31,,,,,,,,,,,
synthetic-poc,hnsw-faiss,False,False,5,1,1,2026-05-20T13:44:57.897281+00:00,15d37f9,reference-machine,12,80,64,none,0,,,,,,,,,,,,,,,,,,19.217707682400942,85331968,85999616,667648,96534,0.9700000882148743,0.800000011920929,1.0,1.0,1.0,0.0714142769575119,0.0,0.85,,,,,,,,,40,54365.57355800389,0.7357597351074219,,,,,,,,,,,,,,,,,,,,,
synthetic-poc,nsg-faiss,False,False,5,1,1,2026-05-20T13:44:58.562865+00:00,15d37f9,reference-machine,,,,none,0,,,,,,,,,,,,,,12,24,200,32,659.315608907491,85999616,85999616,0,72084,0.9950000047683716,0.800000011920929,1.0,1.0,1.0,0.031224988400936127,0.0,0.975,,,,,,,,,40,41486.68644906033,0.9641647338867188,,,,,,,,,,,,,,,,,,,,,
synthetic-poc,roargraph,False,False,5,1,1,2026-05-20T13:44:58.579422+00:00,15d37f9,reference-machine,,,,,,8,12,40,48,30,10,20,10,query_distribution,7,,20,0,,,,,10.756726376712322,85999616,85999616,0,23060,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,,,,,,,,,40,35917.82487690002,1.1136531829833984,,,,,,,,,,,,,,,,,,,,,
synthetic-poc,roargraph,False,False,5,1,1,2026-05-20T13:44:58.598313+00:00,15d37f9,reference-machine,,,,,,8,12,40,48,,,25,10,database_objects,7,400,25,0,,,,,11.61541324108839,85999616,85999616,0,21700,0.9899999499320984,0.800000011920929,1.0,1.0,1.0,0.04358898848295212,0.0,0.95,,,,,,,,,40,37642.39623064842,1.062631607055664,,,,,,,,,,,,,,,,,,,,,
synthetic-poc,roargraph,True,False,5,1,1,2026-05-20T13:44:58.616870+00:00,15d37f9,reference-machine,,,,,,8,12,40,48,30,10,20,10,query_distribution,7,,20,0,,,,,11.521554086357355,85999616,85999616,0,24376,,,,,,,,,0.4949999749660492,0.0,0.6000000238418579,0.800000011920929,0.800000011920929,0.20487801730632782,0.05,0.0,40,31835.32447817837,,,,,,,,,,,,1.2564659118652344,,,,,,,,,,
synthetic-poc,flatnav,False,False,5,1,1,2026-05-20T13:44:58.643846+00:00,15d37f9,reference-machine,12,80,64,none,0,,,,,,,,,,,,,,,,,,20.081619266420603,85999616,85999616,0,72056,0.9950000047683716,0.800000011920929,1.0,1.0,1.0,0.031224988400936127,0.0,0.975,,,,,,,,,40,18022.576001718768,2.2194385528564453,,,,,,,,,,,,,,,,,,,,,
