dataset_name,algorithm,use_asymmetric_transformation,use_hnsw_pruning_rule_on_X,k,hnsw_m,hnsw_ef_construction,hnsw_ef_search,roargraph_m_sq,roargraph_m_pjbp,roargraph_l_pjpq,roargraph_l_pq,roargraph_learn_neighbors_rows_hdf5,roargraph_learn_neighbors_cols_hdf5,roargraph_num_learn_queries,roargraph_learn_neighbors_k,recall_X_avg_at_k,recall_X_asymmetric_avg_at_k,search_time_X_ms,search_time_X_asymmetric_ms,top_candidates_avg_X,top_candidates_median_X,selected_neighbors_avg_X,selected_neighbors_median_X,degree_lowest_layer_avg_X,degree_lowest_layer_median_X,degree_lowest_layer_max_X,degree_avg_X,degree_median_X,degree_max_X,top_candidates_avg_X_asymmetric,top_candidates_median_X_asymmetric,selected_neighbors_avg_X_asymmetric,selected_neighbors_median_X_asymmetric,degree_lowest_layer_avg_X_asymmetric,degree_lowest_layer_median_X_asymmetric,degree_lowest_layer_max_X_asymmetric,degree_avg_X_asymmetric,degree_median_X_asymmetric,degree_max_X_asymmetric
yi-128-ip,roargraph,False,False,10,,,,100,48,500,1000,186843,100,0,100,0.059700001031160355,,570.1370239257812,,,,,,,,,,,,,,,,,,,,,
yi-128-ip,roargraph,False,False,10,,,,100,48,500,1000,186843,100,10000,100,0.9742999076843262,,1578.2270431518555,,,,,,,,,,,,,,,,,,,,,
yi-128-ip,roargraph,False,False,10,,,,100,48,500,1000,186843,100,100000,100,0.9925999641418457,,1977.0121574401855,,,,,,,,,,,,,,,,,,,,,
yi-128-ip,roargraph,False,False,10,,,,100,48,500,1000,186843,100,186843,100,0.9940999746322632,,2064.833164215088,,,,,,,,,,,,,,,,,,,,,
llama-128-ip,roargraph,False,False,10,,,,100,48,500,1000,255921,100,0,100,0.054200004786252975,,646.66748046875,,,,,,,,,,,,,,,,,,,,,
llama-128-ip,roargraph,False,False,10,,,,100,48,500,1000,255921,100,10000,100,0.9815999865531921,,996.863603591919,,,,,,,,,,,,,,,,,,,,,
llama-128-ip,roargraph,False,False,10,,,,100,48,500,1000,255921,100,100000,100,0.9947999715805054,,1187.1752738952637,,,,,,,,,,,,,,,,,,,,,
llama-128-ip,roargraph,False,False,10,,,,100,48,500,1000,255921,100,255921,100,0.9971999526023865,,1227.3852825164795,,,,,,,,,,,,,,,,,,,,,
