dataset_name,algorithm,use_asymmetric_transformation,use_hnsw_pruning_rule_on_X,k,hnsw_m,hnsw_ef_construction,hnsw_ef_search,hnsw_learn_insert_order,hnsw_num_learn_queries,roargraph_m_sq,roargraph_m_pjbp,roargraph_l_pjpq,roargraph_l_pq,roargraph_learn_neighbors_rows_hdf5,roargraph_learn_neighbors_cols_hdf5,roargraph_num_learn_queries,roargraph_learn_neighbors_k,roargraph_learn_query_source,roargraph_database_rows,nsg_r,nsg_l,nsg_c,nsg_search_l,recall_X_avg_at_k,recall_X_asymmetric_avg_at_k,search_time_X_ms,search_time_X_asymmetric_ms,top_candidates_avg_X,top_candidates_median_X,selected_neighbors_avg_X,selected_neighbors_median_X,degree_lowest_layer_avg_X,degree_lowest_layer_median_X,degree_lowest_layer_max_X,degree_avg_X,degree_median_X,degree_max_X,top_candidates_avg_X_asymmetric,top_candidates_median_X_asymmetric,selected_neighbors_avg_X_asymmetric,selected_neighbors_median_X_asymmetric,degree_lowest_layer_avg_X_asymmetric,degree_lowest_layer_median_X_asymmetric,degree_lowest_layer_max_X_asymmetric,degree_avg_X_asymmetric,degree_median_X_asymmetric,degree_max_X_asymmetric
yi-128-ip,roargraph,False,False,10,,,,,,10,48,500,1000,186843,100,0,10,query_distribution,,,,,,0.05249999836087227,,479.8007011413574,,,,,,,,,,,,,,,,,,,,,
yi-128-ip,roargraph,False,False,10,,,,,,10,48,500,1000,186843,100,1,10,query_distribution,,,,,,0.06270000338554382,,650.1603126525879,,,,,,,,,,,,,,,,,,,,,
yi-128-ip,roargraph,False,False,10,,,,,,10,48,500,1000,186843,100,10,10,query_distribution,,,,,,0.08579999953508377,,740.2443885803223,,,,,,,,,,,,,,,,,,,,,
yi-128-ip,roargraph,False,False,10,,,,,,10,48,500,1000,186843,100,100,10,query_distribution,,,,,,0.4829000234603882,,828.1807899475098,,,,,,,,,,,,,,,,,,,,,
yi-128-ip,roargraph,False,False,10,,,,,,10,48,500,1000,186843,100,1000,10,query_distribution,,,,,,0.7807000279426575,,850.7382869720459,,,,,,,,,,,,,,,,,,,,,
yi-128-ip,roargraph,False,False,10,,,,,,10,48,500,1000,186843,100,10000,10,query_distribution,,,,,,0.9086999297142029,,992.1584129333496,,,,,,,,,,,,,,,,,,,,,
yi-128-ip,roargraph,False,False,10,,,,,,10,48,500,1000,186843,100,100000,10,query_distribution,,,,,,0.954800009727478,,1222.8217124938965,,,,,,,,,,,,,,,,,,,,,
yi-128-ip,roargraph,False,False,10,,,,,,10,48,500,1000,186843,100,186843,10,query_distribution,,,,,,0.9666000008583069,,1203.7088871002197,,,,,,,,,,,,,,,,,,,,,
llama-128-ip,roargraph,False,False,10,,,,,,10,48,500,1000,255921,100,0,10,query_distribution,,,,,,0.03890000283718109,,553.9231300354004,,,,,,,,,,,,,,,,,,,,,
llama-128-ip,roargraph,False,False,10,,,,,,10,48,500,1000,255921,100,1,10,query_distribution,,,,,,0.039400000125169754,,550.8098602294922,,,,,,,,,,,,,,,,,,,,,
llama-128-ip,roargraph,False,False,10,,,,,,10,48,500,1000,255921,100,10,10,query_distribution,,,,,,0.3637999892234802,,815.1397705078125,,,,,,,,,,,,,,,,,,,,,
llama-128-ip,roargraph,False,False,10,,,,,,10,48,500,1000,255921,100,100,10,query_distribution,,,,,,0.699400007724762,,732.5315475463867,,,,,,,,,,,,,,,,,,,,,
llama-128-ip,roargraph,False,False,10,,,,,,10,48,500,1000,255921,100,1000,10,query_distribution,,,,,,0.8734999895095825,,723.1593132019043,,,,,,,,,,,,,,,,,,,,,
llama-128-ip,roargraph,False,False,10,,,,,,10,48,500,1000,255921,100,10000,10,query_distribution,,,,,,0.9442999958992004,,766.9479846954346,,,,,,,,,,,,,,,,,,,,,
llama-128-ip,roargraph,False,False,10,,,,,,10,48,500,1000,255921,100,100000,10,query_distribution,,,,,,0.9745000004768372,,844.3169593811035,,,,,,,,,,,,,,,,,,,,,
llama-128-ip,roargraph,False,False,10,,,,,,10,48,500,1000,255921,100,255921,10,query_distribution,,,,,,0.9792999029159546,,809.7066879272461,,,,,,,,,,,,,,,,,,,,,
