dataset_name,algorithm,use_asymmetric_transformation,use_hnsw_pruning_rule_on_X,k,hnsw_m,hnsw_ef_construction,hnsw_ef_search,hnsw_learn_insert_order,hnsw_num_learn_queries,roargraph_m_sq,roargraph_m_pjbp,roargraph_l_pjpq,roargraph_l_pq,roargraph_learn_neighbors_rows_hdf5,roargraph_learn_neighbors_cols_hdf5,roargraph_num_learn_queries,roargraph_learn_neighbors_k,roargraph_learn_query_source,roargraph_database_rows,nsg_r,nsg_l,nsg_c,nsg_search_l,recall_X_avg_at_k,recall_X_asymmetric_avg_at_k,search_time_X_ms,search_time_X_asymmetric_ms,top_candidates_avg_X,top_candidates_median_X,selected_neighbors_avg_X,selected_neighbors_median_X,degree_lowest_layer_avg_X,degree_lowest_layer_median_X,degree_lowest_layer_max_X,degree_avg_X,degree_median_X,degree_max_X,top_candidates_avg_X_asymmetric,top_candidates_median_X_asymmetric,selected_neighbors_avg_X_asymmetric,selected_neighbors_median_X_asymmetric,degree_lowest_layer_avg_X_asymmetric,degree_lowest_layer_median_X_asymmetric,degree_lowest_layer_max_X_asymmetric,degree_avg_X_asymmetric,degree_median_X_asymmetric,degree_max_X_asymmetric
yi-128-ip,roargraph,False,False,10,,,,,,10,48,500,1000,186843,100,0,10,query_distribution,,,,,,0.035600002855062485,,563.8773441314697,,,,,,,,,,,,,,,,,,,,,
yi-128-ip,roargraph,False,False,10,,,,,,10,48,500,1000,186843,100,1,10,query_distribution,,,,,,0.08299999684095383,,611.9101047515869,,,,,,,,,,,,,,,,,,,,,
yi-128-ip,roargraph,False,False,10,,,,,,10,48,500,1000,186843,100,10,10,query_distribution,,,,,,0.09589999914169312,,732.8140735626221,,,,,,,,,,,,,,,,,,,,,
yi-128-ip,roargraph,False,False,10,,,,,,10,48,500,1000,186843,100,100,10,query_distribution,,,,,,0.4352000057697296,,957.8266143798828,,,,,,,,,,,,,,,,,,,,,
yi-128-ip,roargraph,False,False,10,,,,,,10,48,500,1000,186843,100,1000,10,query_distribution,,,,,,0.7760000228881836,,837.0208740234375,,,,,,,,,,,,,,,,,,,,,
yi-128-ip,roargraph,False,False,10,,,,,,10,48,500,1000,186843,100,10000,10,query_distribution,,,,,,0.9068999886512756,,1001.7147064208984,,,,,,,,,,,,,,,,,,,,,
yi-128-ip,roargraph,False,False,10,,,,,,10,48,500,1000,186843,100,100000,10,query_distribution,,,,,,0.9558999538421631,,1172.1584796905518,,,,,,,,,,,,,,,,,,,,,
yi-128-ip,roargraph,False,False,10,,,,,,10,48,500,1000,186843,100,186843,10,query_distribution,,,,,,0.9674999713897705,,1195.1570510864258,,,,,,,,,,,,,,,,,,,,,
llama-128-ip,roargraph,False,False,10,,,,,,10,48,500,1000,255921,100,0,10,query_distribution,,,,,,0.04970000311732292,,566.0812854766846,,,,,,,,,,,,,,,,,,,,,
llama-128-ip,roargraph,False,False,10,,,,,,10,48,500,1000,255921,100,1,10,query_distribution,,,,,,0.10500000417232513,,563.6792182922363,,,,,,,,,,,,,,,,,,,,,
llama-128-ip,roargraph,False,False,10,,,,,,10,48,500,1000,255921,100,10,10,query_distribution,,,,,,0.3571000099182129,,767.0614719390869,,,,,,,,,,,,,,,,,,,,,
llama-128-ip,roargraph,False,False,10,,,,,,10,48,500,1000,255921,100,100,10,query_distribution,,,,,,0.701200008392334,,769.6161270141602,,,,,,,,,,,,,,,,,,,,,
