dataset_name,algorithm,use_asymmetric_transformation,use_hnsw_pruning_rule_on_X,k,num_threads_build,num_threads_search,run_timestamp_utc,git_commit,hostname,hnsw_m,hnsw_ef_construction,hnsw_ef_search,hnsw_learn_insert_order,hnsw_num_learn_queries,roargraph_m_sq,roargraph_m_pjbp,roargraph_l_pjpq,roargraph_l_pq,roargraph_learn_neighbors_rows_hdf5,roargraph_learn_neighbors_cols_hdf5,roargraph_num_learn_queries,roargraph_learn_neighbors_k,roargraph_learn_query_source,roargraph_learn_query_sample_seed,roargraph_database_rows,roargraph_learn_neighbors_rows_actual,roargraph_learn_neighbors_dropped_rows,nsg_r,nsg_l,nsg_c,nsg_search_l,build_time_ms,rss_before_build_bytes,rss_after_build_bytes,rss_build_delta_bytes,index_size_bytes,recall_X_avg_at_k,recall_X_min,recall_X_p50,recall_X_p95,recall_X_p99,recall_X_std,recall_X_frac_at_0,recall_X_frac_at_1,recall_X_asymmetric_avg_at_k,recall_X_asymmetric_min,recall_X_asymmetric_p50,recall_X_asymmetric_p95,recall_X_asymmetric_p99,recall_X_asymmetric_std,recall_X_asymmetric_frac_at_0,recall_X_asymmetric_frac_at_1,num_queries,queries_per_sec,search_time_X_ms,top_candidates_avg_X,top_candidates_median_X,selected_neighbors_avg_X,selected_neighbors_median_X,degree_lowest_layer_avg_X,degree_lowest_layer_median_X,degree_lowest_layer_max_X,degree_avg_X,degree_median_X,degree_max_X,search_time_X_asymmetric_ms,top_candidates_avg_X_asymmetric,top_candidates_median_X_asymmetric,selected_neighbors_avg_X_asymmetric,selected_neighbors_median_X_asymmetric,degree_lowest_layer_avg_X_asymmetric,degree_lowest_layer_median_X_asymmetric,degree_lowest_layer_max_X_asymmetric,degree_avg_X_asymmetric,degree_median_X_asymmetric,degree_max_X_asymmetric
synthetic-poc,hnsw-hnswlib,False,True,5,1,1,2026-05-19T13:30:42.043288+00:00,dcd6fda,reference-machine,12,80,64,none,0,,,,,,,,,,,,,,,,,,21.389801055192947,78721024,82468864,3747840,98072,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,,,,,,,,,40,9821.000995141369,4.072904586791992,67.64597701149425,80.0,9.248275862068965,10.0,16.49,16.0,24,17.1475,16.0,31,,,,,,,,,,,
synthetic-poc,hnsw-faiss,False,False,5,1,1,2026-05-19T13:30:42.071020+00:00,dcd6fda,reference-machine,12,80,64,none,0,,,,,,,,,,,,,,,,,,21.35235909372568,85250048,85250048,0,96534,0.9700000882148743,0.800000011920929,1.0,1.0,1.0,0.0714142769575119,0.0,0.85,,,,,,,,,40,55942.7009003001,0.7150173187255859,,,,,,,,,,,,,,,,,,,,,
synthetic-poc,nsg-faiss,False,False,5,1,1,2026-05-19T13:30:42.743130+00:00,dcd6fda,reference-machine,,,,none,0,,,,,,,,,,,,,,12,24,200,32,665.7495726831257,86401024,86401024,0,72084,0.9950000047683716,0.800000011920929,1.0,1.0,1.0,0.031224988400936127,0.0,0.975,,,,,,,,,40,41394.56205280039,0.9663105010986328,,,,,,,,,,,,,,,,,,,,,
synthetic-poc,roargraph,False,False,5,1,1,2026-05-19T13:30:42.759913+00:00,dcd6fda,reference-machine,,,,,,8,12,40,48,30,10,20,10,query_distribution,7,,20,0,,,,,10.741063859313726,86401024,86401024,0,23060,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,,,,,,,,,40,35795.21228931086,1.1174678802490234,,,,,,,,,,,,,,,,,,,,,
synthetic-poc,roargraph,False,False,5,1,1,2026-05-19T13:30:42.778559+00:00,dcd6fda,reference-machine,,,,,,8,12,40,48,,,25,10,database_objects,7,400,25,0,,,,,11.571291834115982,86401024,86401024,0,21700,0.9899999499320984,0.800000011920929,1.0,1.0,1.0,0.04358898848295212,0.0,0.95,,,,,,,,,40,37558.128497873295,1.0650157928466797,,,,,,,,,,,,,,,,,,,,,
synthetic-poc,flatnav,False,False,5,1,1,2026-05-19T13:30:42.805957+00:00,dcd6fda,reference-machine,12,80,64,none,0,,,,,,,,,,,,,,,,,,20.25404991582036,86401024,86401024,0,72056,0.9950000047683716,0.800000011920929,1.0,1.0,1.0,0.031224988400936127,0.0,0.975,,,,,,,,,40,17663.94609391451,2.2644996643066406,,,,,,,,,,,,,,,,,,,,,
