dataset_name,algorithm,use_asymmetric_transformation,use_hnsw_pruning_rule_on_X,k,num_threads_build,num_threads_search,run_timestamp_utc,git_commit,hostname,hnsw_m,hnsw_ef_construction,hnsw_ef_search,hnsw_learn_insert_order,hnsw_num_learn_queries,roargraph_m_sq,roargraph_m_pjbp,roargraph_l_pjpq,roargraph_l_pq,roargraph_learn_neighbors_rows_hdf5,roargraph_learn_neighbors_cols_hdf5,roargraph_num_learn_queries,roargraph_learn_neighbors_k,roargraph_learn_query_source,roargraph_learn_query_sample_seed,roargraph_database_rows,roargraph_learn_neighbors_rows_actual,roargraph_learn_neighbors_dropped_rows,nsg_r,nsg_l,nsg_c,nsg_search_l,build_time_ms,rss_before_build_bytes,rss_after_build_bytes,rss_build_delta_bytes,index_size_bytes,recall_X_avg_at_k,recall_X_min,recall_X_p50,recall_X_p95,recall_X_p99,recall_X_std,recall_X_frac_at_0,recall_X_frac_at_1,recall_X_asymmetric_avg_at_k,recall_X_asymmetric_min,recall_X_asymmetric_p50,recall_X_asymmetric_p95,recall_X_asymmetric_p99,recall_X_asymmetric_std,recall_X_asymmetric_frac_at_0,recall_X_asymmetric_frac_at_1,num_queries,queries_per_sec,search_time_X_ms,top_candidates_avg_X,top_candidates_median_X,selected_neighbors_avg_X,selected_neighbors_median_X,degree_lowest_layer_avg_X,degree_lowest_layer_median_X,degree_lowest_layer_max_X,degree_avg_X,degree_median_X,degree_max_X,search_time_X_asymmetric_ms,top_candidates_avg_X_asymmetric,top_candidates_median_X_asymmetric,selected_neighbors_avg_X_asymmetric,selected_neighbors_median_X_asymmetric,degree_lowest_layer_avg_X_asymmetric,degree_lowest_layer_median_X_asymmetric,degree_lowest_layer_max_X_asymmetric,degree_avg_X_asymmetric,degree_median_X_asymmetric,degree_max_X_asymmetric
yi-128-ip,roargraph,False,False,10,8,1,2026-05-21T08:24:57.943265+00:00,15d37f9,reference-machine,,,,,,100,48,500,1000,,,0,100,database_objects,1,187843,0,0,,,,,18156.83028101921,540086272,875880448,335794176,1761312,0.03929999843239784,0.0,0.0,0.20000000298023224,0.4000000059604645,0.09255003929138184,0.768,0.001,,,,,,,,,1000,1641.6338905116602,609.1492176055908,,,,,,,,,,,,,,,,,,,,,
yi-128-ip,roargraph,False,False,10,8,1,2026-05-21T08:25:18.483513+00:00,15d37f9,reference-machine,,,,,,100,48,500,1000,,,1,100,database_objects,1,187843,1,0,,,,,19785.095572005957,860393472,980717568,120324096,1771356,0.06680000573396683,0.0,0.0,0.30000001192092896,0.6000000238418579,0.12319805473089218,0.655,0.002,,,,,,,,,1000,1580.7882941198861,632.5957775115967,,,,,,,,,,,,,,,,,,,,,
yi-128-ip,roargraph,False,False,10,8,1,2026-05-21T08:25:37.369398+00:00,15d37f9,reference-machine,,,,,,100,48,500,1000,,,10,100,database_objects,1,187843,10,0,,,,,17871.549319010228,980717568,1083441152,102723584,1776636,0.05649999901652336,0.0,0.0,0.30000001192092896,0.6000000238418579,0.11444540321826935,0.684,0.0,,,,,,,,,1000,1250.2582904836427,799.8347282409668,,,,,,,,,,,,,,,,,,,,,
yi-128-ip,roargraph,False,False,10,8,1,2026-05-21T08:25:59.325438+00:00,15d37f9,reference-machine,,,,,,100,48,500,1000,,,100,100,database_objects,1,187843,100,0,,,,,20753.639375790954,1085726720,1190625280,104898560,1789852,0.1021999940276146,0.0,0.0,0.4000000059604645,0.699999988079071,0.15657317638397217,0.524,0.002,,,,,,,,,1000,1136.931494135225,879.5604705810547,,,,,,,,,,,,,,,,,,,,,
yi-128-ip,roargraph,False,False,10,8,1,2026-05-21T08:26:20.313055+00:00,15d37f9,reference-machine,,,,,,100,48,500,1000,,,1000,100,database_objects,1,187843,1000,0,,,,,18114.747019018978,1190895616,1295515648,104620032,1851376,0.2038000077009201,0.0,0.10000000149011612,0.699999988079071,0.8999999761581421,0.23087996244430542,0.319,0.008,,,,,,,,,1000,1055.9068976134054,947.0531940460205,,,,,,,,,,,,,,,,,,,,,
yi-128-ip,roargraph,False,False,10,8,1,2026-05-21T08:26:58.531640+00:00,15d37f9,reference-machine,,,,,,100,48,500,1000,,,10000,100,database_objects,1,187843,10000,0,,,,,18987.438581883907,1296388096,1410437120,114049024,2056816,0.2533000111579895,0.0,0.20000000298023224,0.699999988079071,0.8999999761581421,0.22183126211166382,0.193,0.005,,,,,,,,,1000,909.9303652170593,1098.985195159912,,,,,,,,,,,,,,,,,,,,,
yi-128-ip,roargraph,False,False,10,8,1,2026-05-21T08:30:17.047121+00:00,15d37f9,reference-machine,,,,,,100,48,500,1000,,,100000,100,database_objects,1,187843,100000,0,,,,,18091.42461186275,1451540480,1596706816,145166336,2452752,0.3361999988555908,0.0,0.30000001192092896,0.800000011920929,1.0,0.263532817363739,0.134,0.014,,,,,,,,,1000,826.2025507204125,1210.3569507598877,,,,,,,,,,,,,,,,,,,,,
yi-128-ip,roargraph,False,False,10,8,1,2026-05-21T08:36:18.594460+00:00,15d37f9,reference-machine,,,,,,100,48,500,1000,,,187843,100,database_objects,1,187843,187843,0,,,,,21157.32813021168,1631035392,1782689792,151654400,2609024,0.3367000222206116,0.0,0.30000001192092896,0.800000011920929,1.0,0.2533438503742218,0.124,0.021,,,,,,,,,1000,789.5741597169787,1266.505479812622,,,,,,,,,,,,,,,,,,,,,
llama-128-ip,roargraph,False,False,10,8,1,2026-05-21T08:36:47.487909+00:00,15d37f9,reference-machine,,,,,,100,48,500,1000,,,0,100,database_objects,1,256921,0,0,,,,,24464.419250842184,1877274624,2082725888,205451264,2211052,0.046299997717142105,0.0,0.0,0.20000000298023224,0.4000000059604645,0.0812792107462883,0.683,0.0,,,,,,,,,1000,1929.1713351620956,518.3572769165039,,,,,,,,,,,,,,,,,,,,,
llama-128-ip,roargraph,False,False,10,8,1,2026-05-21T08:37:13.479394+00:00,15d37f9,reference-machine,,,,,,100,48,500,1000,,,1,100,database_objects,1,256921,1,0,,,,,25048.156918026507,2083295232,2223603712,140308480,2213100,0.12019999325275421,0.0,0.10000000149011612,0.4000000059604645,0.699999988079071,0.15235473215579987,0.427,0.0,,,,,,,,,1000,1297.8758956675006,770.4896926879883,,,,,,,,,,,,,,,,,,,,,
