dataset_name,algorithm,use_asymmetric_transformation,use_hnsw_pruning_rule_on_X,k,num_threads_build,num_threads_search,run_timestamp_utc,git_commit,hostname,hnsw_m,hnsw_ef_construction,hnsw_ef_search,hnsw_learn_insert_order,hnsw_num_learn_queries,roargraph_m_sq,roargraph_m_pjbp,roargraph_l_pjpq,roargraph_l_pq,roargraph_learn_neighbors_rows_hdf5,roargraph_learn_neighbors_cols_hdf5,roargraph_num_learn_queries,roargraph_learn_neighbors_k,roargraph_learn_query_source,roargraph_learn_query_sample_seed,roargraph_database_rows,roargraph_learn_neighbors_rows_actual,roargraph_learn_neighbors_dropped_rows,nsg_r,nsg_l,nsg_c,nsg_search_l,build_time_ms,rss_before_build_bytes,rss_after_build_bytes,rss_build_delta_bytes,index_size_bytes,recall_X_avg_at_k,recall_X_min,recall_X_p50,recall_X_p95,recall_X_p99,recall_X_std,recall_X_frac_at_0,recall_X_frac_at_1,recall_X_asymmetric_avg_at_k,recall_X_asymmetric_min,recall_X_asymmetric_p50,recall_X_asymmetric_p95,recall_X_asymmetric_p99,recall_X_asymmetric_std,recall_X_asymmetric_frac_at_0,recall_X_asymmetric_frac_at_1,num_queries,queries_per_sec,search_time_X_ms,top_candidates_avg_X,top_candidates_median_X,selected_neighbors_avg_X,selected_neighbors_median_X,degree_lowest_layer_avg_X,degree_lowest_layer_median_X,degree_lowest_layer_max_X,degree_avg_X,degree_median_X,degree_max_X,search_time_X_asymmetric_ms,top_candidates_avg_X_asymmetric,top_candidates_median_X_asymmetric,selected_neighbors_avg_X_asymmetric,selected_neighbors_median_X_asymmetric,degree_lowest_layer_avg_X_asymmetric,degree_lowest_layer_median_X_asymmetric,degree_lowest_layer_max_X_asymmetric,degree_avg_X_asymmetric,degree_median_X_asymmetric,degree_max_X_asymmetric
synthetic-poc,hnsw-hnswlib,True,False,5,1,1,2026-05-19T13:29:08.504482+00:00,dcd6fda,reference-machine,12,80,64,none,0,,,,,,,,,,,,,,,,,,24.798635859042406,80748544,85016576,4268032,99672,,,,,,,,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,40,10871.7055469155,,,,,,,,,,,,3.6792755126953125,67.64597701149425,80.0,9.248275862068965,10.0,16.49,16.0,24,17.1475,16.0,31
synthetic-poc,hnsw-faiss,False,False,5,1,1,2026-05-19T13:29:08.551425+00:00,dcd6fda,reference-machine,12,80,64,none,0,,,,,,,,,,,,,,,,,,20.241872873157263,85803008,85803008,0,96534,0.9700000882148743,0.800000011920929,1.0,1.0,1.0,0.0714142769575119,0.0,0.85,,,,,,,,,40,51243.78741600489,0.7805824279785156,,,,,,,,,,,,,,,,,,,,,
synthetic-poc,nsg-faiss,False,False,5,1,1,2026-05-19T13:29:09.220539+00:00,dcd6fda,reference-machine,,,,none,0,,,,,,,,,,,,,,12,24,200,32,662.5456400215626,85803008,85803008,0,72084,0.9950000047683716,0.800000011920929,1.0,1.0,1.0,0.031224988400936127,0.0,0.975,,,,,,,,,40,40397.823260293764,0.9901523590087891,,,,,,,,,,,,,,,,,,,,,
synthetic-poc,roargraph,False,False,5,1,1,2026-05-19T13:29:09.237415+00:00,dcd6fda,reference-machine,,,,,,8,12,40,48,30,10,20,10,query_distribution,7,,20,0,,,,,10.906343348324299,85803008,85803008,0,23060,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,,,,,,,,,40,35764.68983159241,1.1184215545654297,,,,,,,,,,,,,,,,,,,,,
synthetic-poc,roargraph,False,False,5,1,1,2026-05-19T13:29:09.255771+00:00,dcd6fda,reference-machine,,,,,,8,12,40,48,,,25,10,database_objects,7,400,25,0,,,,,11.559698265045881,85803008,85803008,0,21700,0.9899999499320984,0.800000011920929,1.0,1.0,1.0,0.04358898848295212,0.0,0.95,,,,,,,,,40,36840.61484409311,1.0857582092285156,,,,,,,,,,,,,,,,,,,,,
synthetic-poc,flatnav,False,False,5,1,1,2026-05-19T13:29:09.282455+00:00,dcd6fda,reference-machine,12,80,64,none,0,,,,,,,,,,,,,,,,,,19.667371176183224,85803008,87281664,1478656,72056,0.9950000047683716,0.800000011920929,1.0,1.0,1.0,0.031224988400936127,0.0,0.975,,,,,,,,,40,18009.033920137397,2.2211074829101562,,,,,,,,,,,,,,,,,,,,,
