dataset_name,algorithm,use_asymmetric_transformation,use_hnsw_pruning_rule_on_X,k,hnsw_m,hnsw_ef_construction,hnsw_ef_search,roargraph_m_sq,roargraph_m_pjbp,roargraph_l_pjpq,roargraph_l_pq,roargraph_learn_neighbors_rows_hdf5,roargraph_learn_neighbors_cols_hdf5,roargraph_num_learn_queries,roargraph_learn_neighbors_k,recall_X_avg_at_k,recall_X_asymmetric_avg_at_k,search_time_X_ms,search_time_X_asymmetric_ms,top_candidates_avg_X,top_candidates_median_X,selected_neighbors_avg_X,selected_neighbors_median_X,degree_lowest_layer_avg_X,degree_lowest_layer_median_X,degree_lowest_layer_max_X,degree_avg_X,degree_median_X,degree_max_X,top_candidates_avg_X_asymmetric,top_candidates_median_X_asymmetric,selected_neighbors_avg_X_asymmetric,selected_neighbors_median_X_asymmetric,degree_lowest_layer_avg_X_asymmetric,degree_lowest_layer_median_X_asymmetric,degree_lowest_layer_max_X_asymmetric,degree_avg_X_asymmetric,degree_median_X_asymmetric,degree_max_X_asymmetric
yi-128-ip,roargraph,False,False,10,,,,100,48,500,1000,186843,100,1,100,0.09589999914169312,,729.5629978179932,,,,,,,,,,,,,,,,,,,,,
yi-128-ip,roargraph,False,False,10,,,,100,48,500,1000,186843,100,10,100,0.28110000491142273,,1067.8606033325195,,,,,,,,,,,,,,,,,,,,,
yi-128-ip,roargraph,False,False,10,,,,100,48,500,1000,186843,100,100,100,0.6747999787330627,,1057.0857524871826,,,,,,,,,,,,,,,,,,,,,
yi-128-ip,roargraph,False,False,10,,,,100,48,500,1000,186843,100,1000,100,0.890299916267395,,1300.3053665161133,,,,,,,,,,,,,,,,,,,,,
llama-128-ip,roargraph,False,False,10,,,,100,48,500,1000,255921,100,1,100,0.1273999959230423,,658.9763164520264,,,,,,,,,,,,,,,,,,,,,
llama-128-ip,roargraph,False,False,10,,,,100,48,500,1000,255921,100,10,100,0.5008000135421753,,886.5363597869873,,,,,,,,,,,,,,,,,,,,,
llama-128-ip,roargraph,False,False,10,,,,100,48,500,1000,255921,100,100,100,0.8110999464988708,,700.218915939331,,,,,,,,,,,,,,,,,,,,,
llama-128-ip,roargraph,False,False,10,,,,100,48,500,1000,255921,100,1000,100,0.936199963092804,,992.9814338684082,,,,,,,,,,,,,,,,,,,,,
