dataset_name,algorithm,use_asymmetric_transformation,use_hnsw_pruning_rule_on_X,k,hnsw_m,hnsw_ef_construction,hnsw_ef_search,hnsw_learn_insert_order,hnsw_num_learn_queries,roargraph_m_sq,roargraph_m_pjbp,roargraph_l_pjpq,roargraph_l_pq,roargraph_learn_neighbors_rows_hdf5,roargraph_learn_neighbors_cols_hdf5,roargraph_num_learn_queries,roargraph_learn_neighbors_k,recall_X_avg_at_k,recall_X_asymmetric_avg_at_k,search_time_X_ms,search_time_X_asymmetric_ms,top_candidates_avg_X,top_candidates_median_X,selected_neighbors_avg_X,selected_neighbors_median_X,degree_lowest_layer_avg_X,degree_lowest_layer_median_X,degree_lowest_layer_max_X,degree_avg_X,degree_median_X,degree_max_X,top_candidates_avg_X_asymmetric,top_candidates_median_X_asymmetric,selected_neighbors_avg_X_asymmetric,selected_neighbors_median_X_asymmetric,degree_lowest_layer_avg_X_asymmetric,degree_lowest_layer_median_X_asymmetric,degree_lowest_layer_max_X_asymmetric,degree_avg_X_asymmetric,degree_median_X_asymmetric,degree_max_X_asymmetric
yi-128-ip,hnsw-hnswlib,True,True,10,48,500,1000,none,0,,,,,,,,,,0.9667999148368835,,3467.1902656555176,,,,,,,,,,,498.5170172960973,500.0,13.407284267795074,12.0,26.670096836187668,23.0,96,27.067471239279612,23.0,143
yi-128-ip,hnsw-hnswlib,True,True,10,48,500,1000,before,10000,,,,,,,,,,0.6140999794006348,,8897.815704345703,,,,,,,,,,,498.5482839838493,500.0,5.337601931755206,4.0,8.956192536506219,5.0,96,9.327239275587209,5.0,138
yi-128-ip,hnsw-hnswlib,True,True,10,48,500,1000,after,10000,,,,,,,,,,0.9859999418258667,,8481.614828109741,,,,,,,,,,,498.5877058427678,500.0,12.883911606365292,11.0,25.58286115758455,22.0,96,25.977755088630882,22.0,143
llama-128-ip,hnsw-hnswlib,True,True,10,48,500,1000,none,0,,,,,,,,,,0.9580999612808228,,4781.3684940338135,,,,,,,,,,,498.8705344895906,500.0,21.97786676623891,20.0,42.12280428614243,39.0,96,42.6348760903157,39.0,143
llama-128-ip,hnsw-hnswlib,True,True,10,48,500,1000,before,10000,,,,,,,,,,0.812299907207489,,3853.3618450164795,,,,,,,,,,,498.17426573323996,500.0,16.180723686864425,14.0,29.0134684045092,23.0,96,29.49690357821228,24.0,152
llama-128-ip,hnsw-hnswlib,True,True,10,48,500,1000,after,10000,,,,,,,,,,0.9916999340057373,,5470.409631729126,,,,,,,,,,,498.9014547814894,500.0,21.27079032003726,20.0,40.7195387399268,38.0,96,41.2318438789005,38.0,143
