dataset_name,algorithm,use_asymmetric_transformation,use_hnsw_pruning_rule_on_X,k,num_threads_build,num_threads_search,run_timestamp_utc,git_commit,git_dirty,hostname,hnsw_m,hnsw_ef_construction,hnsw_ef_search,hnsw_learn_insert_order,hnsw_num_learn_queries,roargraph_m_sq,roargraph_m_pjbp,roargraph_l_pjpq,roargraph_l_pq,roargraph_learn_neighbors_rows_hdf5,roargraph_learn_neighbors_cols_hdf5,roargraph_num_learn_queries,roargraph_learn_neighbors_k,roargraph_learn_query_source,roargraph_learn_query_sample_seed,roargraph_database_rows,roargraph_learn_neighbors_rows_actual,roargraph_learn_neighbors_dropped_rows,nsg_r,nsg_l,nsg_c,nsg_search_l,build_time_ms,rss_before_build_bytes,rss_after_build_bytes,rss_build_delta_bytes,index_size_bytes,recall_X_avg_at_k,recall_X_min,recall_X_p50,recall_X_p95,recall_X_p99,recall_X_std,recall_X_frac_at_0,recall_X_frac_at_1,recall_X_asymmetric_avg_at_k,recall_X_asymmetric_min,recall_X_asymmetric_p50,recall_X_asymmetric_p95,recall_X_asymmetric_p99,recall_X_asymmetric_std,recall_X_asymmetric_frac_at_0,recall_X_asymmetric_frac_at_1,num_queries,queries_per_sec,search_time_X_ms,top_candidates_avg_X,top_candidates_median_X,selected_neighbors_avg_X,selected_neighbors_median_X,degree_lowest_layer_avg_X,degree_lowest_layer_median_X,degree_lowest_layer_max_X,degree_avg_X,degree_median_X,degree_max_X,search_time_X_asymmetric_ms,top_candidates_avg_X_asymmetric,top_candidates_median_X_asymmetric,selected_neighbors_avg_X_asymmetric,selected_neighbors_median_X_asymmetric,degree_lowest_layer_avg_X_asymmetric,degree_lowest_layer_median_X_asymmetric,degree_lowest_layer_max_X_asymmetric,degree_avg_X_asymmetric,degree_median_X_asymmetric,degree_max_X_asymmetric
yi-128-ip,hnsw-hnswlib,True,True,10,1,1,2026-05-28T20:20:34.926210+00:00,5cd18d3,True,reference-machine,48,500,1000,after,186843,,,,,,,,,,,,,,,,,,453717.10459608585,541212672,971063296,429850624,344807324,,,,,,,,,0.9994000196456909,0.8999999761581421,1.0,1.0,1.0,0.007722696755081415,0.0,0.994,1000,9.20736153921105,,,,,,,,,,,,108608.74700546265,499.15571066221895,500.0,7.499450131785517,4.0,14.426250246873382,8.0,96,14.704299066418281,8.0,144
llama-128-ip,hnsw-hnswlib,True,True,10,1,1,2026-05-28T20:31:59.202055+00:00,5cd18d3,True,reference-machine,48,500,1000,after,255921,,,,,,,,,,,,,,,,,,668368.9329158515,720896000,1308516352,587620352,471950728,,,,,,,,,0.953499972820282,0.5,1.0,1.0,1.0,0.08347304910421371,0.0,0.697,1000,130.50818425212702,,,,,,,,,,,,7662.3547077178955,499.34304329405836,500.0,11.571334241733748,5.0,21.693564489647883,9.0,96,21.992970544534185,9.0,143
yi-128-ip,hnsw-hnswlib,False,True,10,1,1,2026-05-28T20:40:43.853292+00:00,5cd18d3,True,reference-machine,48,500,1000,after,186843,,,,,,,,,,,,,,,,,,426410.8779686503,550576128,986734592,436158464,343308580,0.5691999793052673,0.0,0.6000000238418579,0.8999999761581421,1.0,0.22138509154319763,0.005,0.043,,,,,,,,,1000,10.64083338730742,93977.60152816772,499.151186330877,500.0,1.5308122115151024,1.0,2.092787027003945,1.0,96,2.228660798642063,1.0,146,,,,,,,,,,,
llama-128-ip,hnsw-hnswlib,False,True,10,1,1,2026-05-28T20:48:32.686594+00:00,5cd18d3,True,reference-machine,48,500,1000,after,255921,,,,,,,,,,,,,,,,,,455950.17115259543,723361792,1314541568,591179776,469899360,0.22709999978542328,0.0,0.20000000298023224,0.5,0.699999988079071,0.16737857460975647,0.149,0.0,,,,,,,,,1000,137.32244118554829,7282.13095664978,499.30686567505984,500.0,1.075521280615575,1.0,1.1722733317474,1.0,96,1.2287390658331416,1.0,144,,,,,,,,,,,
