dataset_name,algorithm,use_asymmetric_transformation,use_hnsw_pruning_rule_on_X,k,num_threads_build,num_threads_search,run_timestamp_utc,git_commit,git_dirty,hostname,hnsw_m,hnsw_ef_construction,hnsw_ef_search,hnsw_learn_insert_order,hnsw_num_learn_queries,roargraph_m_sq,roargraph_m_pjbp,roargraph_l_pjpq,roargraph_l_pq,roargraph_learn_neighbors_rows_hdf5,roargraph_learn_neighbors_cols_hdf5,roargraph_num_learn_queries,roargraph_learn_neighbors_k,roargraph_learn_query_source,roargraph_learn_query_sample_seed,roargraph_database_rows,roargraph_learn_neighbors_rows_actual,roargraph_learn_neighbors_dropped_rows,nsg_r,nsg_l,nsg_c,nsg_search_l,build_time_ms,rss_before_build_bytes,rss_after_build_bytes,rss_build_delta_bytes,index_size_bytes,recall_X_avg_at_k,recall_X_min,recall_X_p50,recall_X_p95,recall_X_p99,recall_X_std,recall_X_frac_at_0,recall_X_frac_at_1,recall_X_asymmetric_avg_at_k,recall_X_asymmetric_min,recall_X_asymmetric_p50,recall_X_asymmetric_p95,recall_X_asymmetric_p99,recall_X_asymmetric_std,recall_X_asymmetric_frac_at_0,recall_X_asymmetric_frac_at_1,num_queries,queries_per_sec,search_time_X_ms,top_candidates_avg_X,top_candidates_median_X,selected_neighbors_avg_X,selected_neighbors_median_X,degree_lowest_layer_avg_X,degree_lowest_layer_median_X,degree_lowest_layer_max_X,degree_avg_X,degree_median_X,degree_max_X,search_time_X_asymmetric_ms,top_candidates_avg_X_asymmetric,top_candidates_median_X_asymmetric,selected_neighbors_avg_X_asymmetric,selected_neighbors_median_X_asymmetric,degree_lowest_layer_avg_X_asymmetric,degree_lowest_layer_median_X_asymmetric,degree_lowest_layer_max_X_asymmetric,degree_avg_X_asymmetric,degree_median_X_asymmetric,degree_max_X_asymmetric
yi-128-ip,hnsw-hnswlib,False,True,10,1,1,2026-05-28T12:42:53.042980+00:00,52fa07e,True,reference-machine,48,500,1000,after,186843,,,,,,,,,,,,,,,,,,427962.48108521104,540954624,969342976,428388352,343308580,0.4707000255584717,0.0,0.5,0.8999999761581421,1.0,0.23969045281410217,0.019,0.031,,,,,,,,,1000,25.42887996545803,39325.36554336548,499.151186330877,500.0,1.5308122115151024,1.0,2.092787027003945,1.0,96,2.228660798642063,1.0,146,,,,,,,,,,,
llama-128-ip,hnsw-hnswlib,False,True,10,1,1,2026-05-28T12:50:37.863783+00:00,52fa07e,True,reference-machine,48,500,1000,after,255921,,,,,,,,,,,,,,,,,,453002.6403442025,718741504,1306365952,587624448,469899360,0.26750001311302185,0.0,0.30000001192092896,0.6000000238418579,0.699999988079071,0.17051026225090027,0.106,0.0,,,,,,,,,1000,162.4618538629459,6155.2910804748535,499.30686567505984,500.0,1.075521280615575,1.0,1.1722733317474,1.0,96,1.2287390658331416,1.0,144,,,,,,,,,,,
yi-128-ip,roargraph,True,False,10,1,1,2026-05-28T12:51:47.272398+00:00,52fa07e,True,reference-machine,,,,,,10,48,500,1000,186843,100,186843,10,query_distribution,42,,186843,0,,,,,65317.80722318217,550854656,914722816,363868160,3053856,,,,,,,,,0.7757999897003174,0.0,0.800000011920929,1.0,1.0,0.14406372606754303,0.001,0.073,1000,856.7033608974103,,,,,,,,,,,,1167.2651767730713,,,,,,,,,,
yi-128-ip,roargraph,True,False,10,1,1,2026-05-28T12:58:50.168750+00:00,52fa07e,True,reference-machine,,,,,,10,48,500,1000,,,187843,10,database_objects,42,187843,187843,0,,,,,119593.81475206465,821919744,1022234624,200314880,8759020,,,,,,,,,0.5473999977111816,0.0,0.6000000238418579,0.8999999761581421,1.0,0.27105948328971863,0.073,0.025,1000,560.8490484041564,,,,,,,,,,,,1783.0109596252441,,,,,,,,,,
llama-128-ip,roargraph,True,False,10,1,1,2026-05-28T13:00:39.681279+00:00,52fa07e,True,reference-machine,,,,,,10,48,500,1000,255921,100,255921,10,query_distribution,42,,255921,0,,,,,104667.34082764015,928018432,1425358848,497340416,3448808,,,,,,,,,0.8421999216079712,0.30000001192092896,0.8999999761581421,1.0,1.0,0.11081136763095856,0.0,0.151,1000,1101.7242810417342,,,,,,,,,,,,907.6681137084961,,,,,,,,,,
llama-128-ip,roargraph,True,False,10,1,1,2026-05-28T13:12:44.223786+00:00,52fa07e,True,reference-machine,,,,,,10,48,500,1000,,,256921,10,database_objects,42,256921,256921,0,,,,,162123.34049493074,1288675328,1560629248,271953920,13042352,,,,,,,,,0.6474999785423279,0.0,0.699999988079071,0.8999999761581421,1.0,0.19129492342472076,0.005,0.025,1000,470.30313740322003,,,,,,,,,,,,2126.2881755828857,,,,,,,,,,
