dataset_name,algorithm,use_asymmetric_transformation,use_hnsw_pruning_rule_on_X,k,num_threads_build,num_threads_search,run_timestamp_utc,git_commit,git_dirty,hostname,hnsw_m,hnsw_ef_construction,hnsw_ef_search,hnsw_learn_insert_order,hnsw_num_learn_queries,roargraph_m_sq,roargraph_m_pjbp,roargraph_l_pjpq,roargraph_l_pq,roargraph_learn_neighbors_rows_hdf5,roargraph_learn_neighbors_cols_hdf5,roargraph_num_learn_queries,roargraph_learn_neighbors_k,roargraph_learn_query_source,roargraph_learn_query_sample_seed,roargraph_database_rows,roargraph_learn_neighbors_rows_actual,roargraph_learn_neighbors_dropped_rows,nsg_r,nsg_l,nsg_c,nsg_search_l,build_time_ms,rss_before_build_bytes,rss_after_build_bytes,rss_build_delta_bytes,index_size_bytes,recall_X_avg_at_k,recall_X_min,recall_X_p50,recall_X_p95,recall_X_p99,recall_X_std,recall_X_frac_at_0,recall_X_frac_at_1,recall_X_asymmetric_avg_at_k,recall_X_asymmetric_min,recall_X_asymmetric_p50,recall_X_asymmetric_p95,recall_X_asymmetric_p99,recall_X_asymmetric_std,recall_X_asymmetric_frac_at_0,recall_X_asymmetric_frac_at_1,num_queries,queries_per_sec,search_time_X_ms,top_candidates_avg_X,top_candidates_median_X,selected_neighbors_avg_X,selected_neighbors_median_X,degree_lowest_layer_avg_X,degree_lowest_layer_median_X,degree_lowest_layer_max_X,degree_avg_X,degree_median_X,degree_max_X,search_time_X_asymmetric_ms,top_candidates_avg_X_asymmetric,top_candidates_median_X_asymmetric,selected_neighbors_avg_X_asymmetric,selected_neighbors_median_X_asymmetric,degree_lowest_layer_avg_X_asymmetric,degree_lowest_layer_median_X_asymmetric,degree_lowest_layer_max_X_asymmetric,degree_avg_X_asymmetric,degree_median_X_asymmetric,degree_max_X_asymmetric
yi-128-ip,hnsw-hnswlib,False,True,10,1,1,2026-05-29T07:32:37.547768+00:00,c2937e5,True,reference-machine,48,500,1000,after,1000,,,,,,,,,,,,,,,,,,194166.72777105123,540749824,758304768,217554944,173023808,0.4724000096321106,0.0,0.5,0.8999999761581421,1.0,0.23941227793693542,0.019,0.031,,,,,,,,,1000,527.3171072077163,1896.3921070098877,498.51589560168986,500.0,1.5379726822693933,1.0,2.130801777137622,1.0,96,2.255725655703415,1.0,146,,,,,,,,,,,
llama-128-ip,hnsw-hnswlib,False,True,10,1,1,2026-05-29T07:37:14.406092+00:00,c2937e5,True,reference-machine,48,500,1000,after,1000,,,,,,,,,,,,,,,,,,270658.5156498477,717455360,1026080768,308625408,236314396,0.269400030374527,0.0,0.30000001192092896,0.6000000238418579,0.699999988079071,0.17012830078601837,0.103,0.0,,,,,,,,,1000,693.4595336004243,1442.0452117919922,498.80297555791714,500.0,1.1224722939122513,1.0,1.2903214550191726,1.0,96,1.358493492193346,1.0,144,,,,,,,,,,,
yi-128-ip,roargraph,True,False,10,1,1,2026-05-29T07:38:24.021779+00:00,c2937e5,True,reference-machine,,,,,,10,48,500,1000,186843,100,1000,10,query_distribution,42,,1000,0,,,,,65855.91210983694,549961728,883929088,333967360,2293192,,,,,,,,,0.7055000066757202,0.0,0.699999988079071,0.8999999761581421,1.0,0.16637231409549713,0.002,0.036,1000,1190.889701055539,,,,,,,,,,,,839.7083282470703,,,,,,,,,,
yi-128-ip,roargraph,True,False,10,1,1,2026-05-29T07:39:37.162597+00:00,c2937e5,True,reference-machine,,,,,,10,48,500,1000,,,1000,10,database_objects,42,187843,1000,0,,,,,70361.30145518109,752132096,987377664,235245568,2325856,,,,,,,,,0.17669999599456787,0.0,0.10000000149011612,0.6050000220537141,0.800000011920929,0.21397922933101654,0.391,0.0,1000,995.0736275017088,,,,,,,,,,,,1004.950761795044,,,,,,,,,,
llama-128-ip,roargraph,True,False,10,1,1,2026-05-29T07:41:25.632201+00:00,c2937e5,True,reference-machine,,,,,,10,48,500,1000,255921,100,1000,10,query_distribution,42,,1000,0,,,,,103801.9986487925,922542080,1379680256,457138176,3106084,,,,,,,,,0.7944999933242798,0.0,0.800000011920929,1.0,1.0,0.12601487338542938,0.001,0.077,1000,1386.7163917570083,,,,,,,,,,,,721.127986907959,,,,,,,,,,
llama-128-ip,roargraph,True,False,10,1,1,2026-05-29T07:43:10.750028+00:00,c2937e5,True,reference-machine,,,,,,10,48,500,1000,,,1000,10,database_objects,42,256921,1000,0,,,,,101918.55330578983,1057832960,1513885696,456052736,3152164,,,,,,,,,0.16930000483989716,0.0,0.10000000149011612,0.5,0.699999988079071,0.1657332479953766,0.28,0.0,1000,1222.1147696463147,,,,,,,,,,,,818.253755569458,,,,,,,,,,
