dataset_name,algorithm,use_asymmetric_transformation,use_hnsw_pruning_rule_on_X,k,hnsw_m,hnsw_ef_construction,hnsw_ef_search,hnsw_learn_insert_order,hnsw_num_learn_queries,roargraph_m_sq,roargraph_m_pjbp,roargraph_l_pjpq,roargraph_l_pq,roargraph_learn_neighbors_rows_hdf5,roargraph_learn_neighbors_cols_hdf5,roargraph_num_learn_queries,roargraph_learn_neighbors_k,roargraph_learn_query_source,roargraph_database_rows,nsg_r,nsg_l,nsg_c,nsg_search_l,recall_X_avg_at_k,recall_X_asymmetric_avg_at_k,search_time_X_ms,search_time_X_asymmetric_ms,top_candidates_avg_X,top_candidates_median_X,selected_neighbors_avg_X,selected_neighbors_median_X,degree_lowest_layer_avg_X,degree_lowest_layer_median_X,degree_lowest_layer_max_X,degree_avg_X,degree_median_X,degree_max_X,top_candidates_avg_X_asymmetric,top_candidates_median_X_asymmetric,selected_neighbors_avg_X_asymmetric,selected_neighbors_median_X_asymmetric,degree_lowest_layer_avg_X_asymmetric,degree_lowest_layer_median_X_asymmetric,degree_lowest_layer_max_X_asymmetric,degree_avg_X_asymmetric,degree_median_X_asymmetric,degree_max_X_asymmetric
yi-128-ip,roargraph,False,False,10,,,,,,10,48,500,1000,,,0,10,database_objects,187843,,,,,0.04149999842047691,,557.63840675354,,,,,,,,,,,,,,,,,,,,,
yi-128-ip,roargraph,False,False,10,,,,,,10,48,500,1000,,,1,10,database_objects,187843,,,,,0.04030000418424606,,583.2095146179199,,,,,,,,,,,,,,,,,,,,,
yi-128-ip,roargraph,False,False,10,,,,,,10,48,500,1000,,,10,10,database_objects,187843,,,,,0.058000002056360245,,629.340410232544,,,,,,,,,,,,,,,,,,,,,
yi-128-ip,roargraph,False,False,10,,,,,,10,48,500,1000,,,100,10,database_objects,187843,,,,,0.08789999783039093,,860.377311706543,,,,,,,,,,,,,,,,,,,,,
yi-128-ip,roargraph,False,False,10,,,,,,10,48,500,1000,,,1000,10,database_objects,187843,,,,,0.12410000711679459,,885.869026184082,,,,,,,,,,,,,,,,,,,,,
yi-128-ip,roargraph,False,False,10,,,,,,10,48,500,1000,,,10000,10,database_objects,187843,,,,,0.21139998733997345,,963.1540775299072,,,,,,,,,,,,,,,,,,,,,
yi-128-ip,roargraph,False,False,10,,,,,,10,48,500,1000,,,100000,10,database_objects,187843,,,,,0.2672000229358673,,1026.0634422302246,,,,,,,,,,,,,,,,,,,,,
yi-128-ip,roargraph,False,False,10,,,,,,10,48,500,1000,,,187843,10,database_objects,187843,,,,,0.3100999891757965,,989.3558025360107,,,,,,,,,,,,,,,,,,,,,
llama-128-ip,roargraph,False,False,10,,,,,,10,48,500,1000,,,0,10,database_objects,256921,,,,,0.04600000008940697,,570.0478553771973,,,,,,,,,,,,,,,,,,,,,
llama-128-ip,roargraph,False,False,10,,,,,,10,48,500,1000,,,1,10,database_objects,256921,,,,,0.05290000140666962,,556.5695762634277,,,,,,,,,,,,,,,,,,,,,
llama-128-ip,roargraph,False,False,10,,,,,,10,48,500,1000,,,10,10,database_objects,256921,,,,,0.07260000705718994,,626.0244846343994,,,,,,,,,,,,,,,,,,,,,
llama-128-ip,roargraph,False,False,10,,,,,,10,48,500,1000,,,100,10,database_objects,256921,,,,,0.16039998829364777,,846.4841842651367,,,,,,,,,,,,,,,,,,,,,
llama-128-ip,roargraph,False,False,10,,,,,,10,48,500,1000,,,1000,10,database_objects,256921,,,,,0.1493000090122223,,796.5290546417236,,,,,,,,,,,,,,,,,,,,,
llama-128-ip,roargraph,False,False,10,,,,,,10,48,500,1000,,,10000,10,database_objects,256921,,,,,0.22010000050067902,,932.236909866333,,,,,,,,,,,,,,,,,,,,,
llama-128-ip,roargraph,False,False,10,,,,,,10,48,500,1000,,,100000,10,database_objects,256921,,,,,0.22380000352859497,,989.1300201416016,,,,,,,,,,,,,,,,,,,,,
llama-128-ip,roargraph,False,False,10,,,,,,10,48,500,1000,,,256921,10,database_objects,256921,,,,,0.2111000120639801,,976.9332408905029,,,,,,,,,,,,,,,,,,,,,
yi-128-ip,roargraph,False,False,10,,,,,,100,48,500,1000,,,0,100,database_objects,187843,,,,,0.050200000405311584,,615.192174911499,,,,,,,,,,,,,,,,,,,,,
yi-128-ip,roargraph,False,False,10,,,,,,100,48,500,1000,,,1,100,database_objects,187843,,,,,0.05020000413060188,,634.9465847015381,,,,,,,,,,,,,,,,,,,,,
yi-128-ip,roargraph,False,False,10,,,,,,100,48,500,1000,,,10,100,database_objects,187843,,,,,0.04690000042319298,,751.9207000732422,,,,,,,,,,,,,,,,,,,,,
yi-128-ip,roargraph,False,False,10,,,,,,100,48,500,1000,,,100,100,database_objects,187843,,,,,0.14100000262260437,,926.3801574707031,,,,,,,,,,,,,,,,,,,,,
yi-128-ip,roargraph,False,False,10,,,,,,100,48,500,1000,,,1000,100,database_objects,187843,,,,,0.20649999380111694,,976.038932800293,,,,,,,,,,,,,,,,,,,,,
yi-128-ip,roargraph,False,False,10,,,,,,100,48,500,1000,,,10000,100,database_objects,187843,,,,,0.241100013256073,,1097.0211029052734,,,,,,,,,,,,,,,,,,,,,
yi-128-ip,roargraph,False,False,10,,,,,,100,48,500,1000,,,100000,100,database_objects,187843,,,,,0.33070001006126404,,1241.347074508667,,,,,,,,,,,,,,,,,,,,,
yi-128-ip,roargraph,False,False,10,,,,,,100,48,500,1000,,,187843,100,database_objects,187843,,,,,0.3579000234603882,,1292.4025058746338,,,,,,,,,,,,,,,,,,,,,
llama-128-ip,roargraph,False,False,10,,,,,,100,48,500,1000,,,0,100,database_objects,256921,,,,,0.03150000050663948,,545.7582473754883,,,,,,,,,,,,,,,,,,,,,
llama-128-ip,roargraph,False,False,10,,,,,,100,48,500,1000,,,1,100,database_objects,256921,,,,,0.054499998688697815,,600.8903980255127,,,,,,,,,,,,,,,,,,,,,
llama-128-ip,roargraph,False,False,10,,,,,,100,48,500,1000,,,10,100,database_objects,256921,,,,,0.15940000116825104,,806.6539764404297,,,,,,,,,,,,,,,,,,,,,
llama-128-ip,roargraph,False,False,10,,,,,,100,48,500,1000,,,100,100,database_objects,256921,,,,,0.19110000133514404,,806.70166015625,,,,,,,,,,,,,,,,,,,,,
llama-128-ip,roargraph,False,False,10,,,,,,100,48,500,1000,,,1000,100,database_objects,256921,,,,,0.18950000405311584,,909.0907573699951,,,,,,,,,,,,,,,,,,,,,
llama-128-ip,roargraph,False,False,10,,,,,,100,48,500,1000,,,10000,100,database_objects,256921,,,,,0.2102000117301941,,993.2107925415039,,,,,,,,,,,,,,,,,,,,,
llama-128-ip,roargraph,False,False,10,,,,,,100,48,500,1000,,,100000,100,database_objects,256921,,,,,0.28220000863075256,,1098.5097885131836,,,,,,,,,,,,,,,,,,,,,
llama-128-ip,roargraph,False,False,10,,,,,,100,48,500,1000,,,256921,100,database_objects,256921,,,,,0.31460005044937134,,1095.6096649169922,,,,,,,,,,,,,,,,,,,,,
