dataset_name,algorithm,use_asymmetric_transformation,efSearch,recall,queries_per_sec
llama-128-ip,flatnav,FALSE,500,13.90%,2677.4
llama-128-ip,flatnav,FALSE,600,15.20%,2246.9
llama-128-ip,flatnav,FALSE,800,17.00%,1718.3
llama-128-ip,flatnav,FALSE,1000,18.50%,1419.8
yi-128-ip,flatnav,TRUE,10,26.3%,16456.2
yi-128-ip,flatnav,TRUE,20,38.4%,10240.4
yi-128-ip,flatnav,TRUE,30,46.4%,8273.4
yi-128-ip,flatnav,TRUE,40,52.5%,6956.1
yi-128-ip,flatnav,TRUE,50,56.6%,5906.4
yi-128-ip,flatnav,TRUE,60,60.5%,5173.4
yi-128-ip,flatnav,TRUE,80,66.7%,4164.6
yi-128-ip,flatnav,TRUE,100,70.9%,3488.9
yi-128-ip,flatnav,TRUE,150,78.5%,2507.2
yi-128-ip,flatnav,TRUE,200,82.5%,1998.8
yi-128-ip,flatnav,TRUE,300,87.8%,1400.5
yi-128-ip,flatnav,TRUE,400,90.8%,1074.6
yi-128-ip,flatnav,TRUE,500,92.4%,873.3
yi-128-ip,flatnav,TRUE,600,93.7%,742.8
yi-128-ip,flatnav,TRUE,800,95.4%,569.7
yi-128-ip,flatnav,TRUE,1000,96.5%,461.9
llama-128-ip,flatnav,TRUE,10,20.8%,15407.3
llama-128-ip,flatnav,TRUE,20,32.0%,9953.6
llama-128-ip,flatnav,TRUE,30,39.1%,7067.4
llama-128-ip,flatnav,TRUE,40,46.0%,6025.9
llama-128-ip,flatnav,TRUE,50,50.2%,5040.1
llama-128-ip,flatnav,TRUE,60,53.9%,4408.1
llama-128-ip,flatnav,TRUE,80,59.9%,3544.3
llama-128-ip,flatnav,TRUE,100,64.6%,2878.7
llama-128-ip,flatnav,TRUE,150,72.6%,2026.2
llama-128-ip,flatnav,TRUE,200,77.7%,1552.2
llama-128-ip,flatnav,TRUE,300,83.7%,1068.4
llama-128-ip,flatnav,TRUE,400,87.8%,804.0
llama-128-ip,flatnav,TRUE,500,90.1%,665.7
llama-128-ip,flatnav,TRUE,600,91.9%,564.8
llama-128-ip,flatnav,TRUE,800,94.3%,430.6
llama-128-ip,flatnav,TRUE,1000,95.5%,348.8
yi-128-ip,nsg-faiss,FALSE,10,2.60%,56922.1
yi-128-ip,nsg-faiss,FALSE,20,5.30%,27849.1
yi-128-ip,nsg-faiss,FALSE,30,7.60%,20415.3
yi-128-ip,nsg-faiss,FALSE,40,9.30%,16189.4
yi-128-ip,nsg-faiss,FALSE,50,10.50%,12693.7
yi-128-ip,nsg-faiss,FALSE,60,13.80%,10893.0
yi-128-ip,nsg-faiss,FALSE,80,15.60%,9280.9
yi-128-ip,nsg-faiss,FALSE,100,17.20%,7450.2
yi-128-ip,nsg-faiss,FALSE,150,22.50%,5388.2
yi-128-ip,nsg-faiss,FALSE,200,24.60%,4274.3
yi-128-ip,nsg-faiss,FALSE,300,27.90%,2867.0
yi-128-ip,nsg-faiss,FALSE,400,31.60%,2154.1
yi-128-ip,nsg-faiss,FALSE,500,33.60%,1681.8
yi-128-ip,nsg-faiss,FALSE,600,35.50%,1363.8
yi-128-ip,nsg-faiss,FALSE,800,38.70%,960.4
yi-128-ip,nsg-faiss,FALSE,1000,40.80%,729.0
llama-128-ip,nsg-faiss,FALSE,10,3.00%,36250.0
llama-128-ip,nsg-faiss,FALSE,20,4.10%,21500.4
llama-128-ip,nsg-faiss,FALSE,30,5.30%,16044.6
llama-128-ip,nsg-faiss,FALSE,40,6.50%,12623.4
llama-128-ip,nsg-faiss,FALSE,50,7.20%,10575.5
llama-128-ip,nsg-faiss,FALSE,60,7.80%,9081.5
llama-128-ip,nsg-faiss,FALSE,80,9.00%,7211.9
llama-128-ip,nsg-faiss,FALSE,100,9.90%,5880.4
